Congress.gov API — Nominations, 119th Congress
Endpoint: https://api.congress.gov/v3/nomination/119 (limit=250, all pages)
Fetched: 2026-08-31
Total nomination records returned by the API: 2077
Tally of latestAction.text by leading phrase: {
 "confirmed": 1622,
 "other": 95,
 "pending-calendar": 42,
 "pending-referred": 205,
 "returned": 113
}

--- one line per nomination: citation | number | organization | latestAction.text ---
PN583 | 583 | Navy | Confirmed by the Senate by Voice Vote.
PN580 | 580 | Navy | Confirmed by the Senate by Voice Vote.
PN610 | 610 | Army | Confirmed by the Senate by Voice Vote.
PN612 | 612 | Army | Confirmed by the Senate by Voice Vote.
PN594 | 594 | Army | Confirmed by the Senate by Voice Vote.
PN603 | 603 | Space Force | Confirmed by the Senate by Voice Vote.
PN602 | 602 | Army | Confirmed by the Senate by Voice Vote.
PN597 | 597 | Air Force | Confirmed by the Senate by Voice Vote.
PN598 | 598 | Air Force | Confirmed by the Senate by Voice Vote.
PN600 | 600 | Air Force | Confirmed by the Senate by Voice Vote.
PN556-1 | 556 |  | Received in the Senate and referred to the Committee on Armed Services.
PN25-45 | 25 | Department of State | Received message of withdrawal of nomination from the President.
PN368 | 368 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 48 - 45. Record Vote Number: 586.
PN127-2 | 127 |  | Received in the Senate and referred to the Committee on Commerce, Science, and Transportation.
PN127-1 | 127 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN127-3 | 127 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN25-35 | 25 | Department of the Interior | Confirmed by the Senate by Yea-Nay Vote. 54 - 43. Record Vote Number: 470.
PN26-42 | 26 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 59 - 39. Record Vote Number: 460.
PN55-37 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-25 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN55-36 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 44. Record Vote Number: 482.
PN414 | 414 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN141-18 | 141 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN371 | 371 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN400-2 | 400 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 584.
PN367 | 367 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN22-28 | 22 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-21 | 25 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN128 | 128 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN345-9 | 345 | Office of Special Counsel | Received message of withdrawal of nomination from the President.
PN458 | 458 | Army | Confirmed by the Senate by Voice Vote.
PN441-1 | 441 |  | Placed on Senate Executive Calendar. Calendar No. 438.
PN343 | 343 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 47 - 43. Record Vote Number: 530.
PN120 | 120 | Air Force | Confirmed by the Senate by Voice Vote.
PN354 | 354 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN342 | 342 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 54 - 45. Record Vote Number: 532.
PN403-1 | 403 | Air Force | Confirmed by the Senate by Voice Vote.
PN405-1 | 405 | Air Force | Confirmed by the Senate by Voice Vote.
PN426 | 426 | Space Force | Confirmed by the Senate by Voice Vote.
PN427 | 427 | Space Force | Confirmed by the Senate by Voice Vote.
PN428 | 428 | Space Force | Confirmed by the Senate by Voice Vote.
PN429 | 429 | Space Force | Confirmed by the Senate by Voice Vote.
PN449 | 449 | Air Force | Confirmed by the Senate by Voice Vote.
PN443 | 443 | Army | Confirmed by the Senate by Voice Vote.
PN437 | 437 | Navy | Confirmed by the Senate by Voice Vote.
PN436 | 436 | Navy | Confirmed by the Senate by Voice Vote.
PN450 | 450 | Air Force | Confirmed by the Senate by Voice Vote.
PN452 | 452 | Air Force | Confirmed by the Senate by Voice Vote.
PN442 | 442 | Air Force | Confirmed by the Senate by Voice Vote.
PN430 | 430 | Space Force | Confirmed by the Senate by Voice Vote.
PN435 | 435 | Army | Confirmed by the Senate by Voice Vote.
PN439 | 439 | Air Force | Confirmed by the Senate by Voice Vote.
PN440-1 | 440 | Air Force | Confirmed by the Senate by Voice Vote.
PN454 | 454 | Air Force | Confirmed by the Senate by Voice Vote.
PN455 | 455 | Air Force | Confirmed by the Senate by Voice Vote.
PN456 | 456 | Air Force | Confirmed by the Senate by Voice Vote.
PN457 | 457 | Army | Confirmed by the Senate by Voice Vote.
PN459 | 459 | Army | Confirmed by the Senate by Voice Vote.
PN481 | 481 | Army | Confirmed by the Senate by Voice Vote.
PN482 | 482 | Army | Confirmed by the Senate by Voice Vote.
PN479-1 | 479 | Navy | Confirmed by the Senate by Voice Vote.
PN480 | 480 | Army | Confirmed by the Senate by Voice Vote.
PN479-2 | 479 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN470-2 | 470 | Air Force | Confirmed by the Senate by Voice Vote.
PN470-1 | 470 | Army | Confirmed by the Senate by Voice Vote.
PN477 | 477 | Air Force | Confirmed by the Senate by Voice Vote.
PN472 | 472 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN471 | 471 | Army | Confirmed by the Senate by Voice Vote.
PN478 | 478 | Army | Confirmed by the Senate by Voice Vote.
PN460 | 460 | Army | Confirmed by the Senate by Voice Vote.
PN475 | 475 | Navy | Confirmed by the Senate by Voice Vote.
PN470-3 | 470 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN476-1 | 476 | Navy | Confirmed by the Senate by Voice Vote.
PN467 | 467 | Air Force | Confirmed by the Senate by Voice Vote.
PN483 | 483 | Army | Confirmed by the Senate by Voice Vote.
PN469 | 469 | Air Force | Confirmed by the Senate by Voice Vote.
PN486 | 486 | Navy | Confirmed by the Senate by Voice Vote.
PN484 | 484 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN485 | 485 | Navy | Confirmed by the Senate by Voice Vote.
PN487 | 487 | Navy | Confirmed by the Senate by Voice Vote.
PN488 | 488 | Navy | Confirmed by the Senate by Voice Vote.
PN489 | 489 | Navy | Confirmed by the Senate by Voice Vote.
PN493 | 493 | Navy | Confirmed by the Senate by Voice Vote.
PN490 | 490 | Navy | Confirmed by the Senate by Voice Vote.
PN491 | 491 | Navy | Confirmed by the Senate by Voice Vote.
PN492 | 492 | Navy | Confirmed by the Senate by Voice Vote.
PN494 | 494 | Navy | Confirmed by the Senate by Voice Vote.
PN495 | 495 | Navy | Confirmed by the Senate by Voice Vote.
PN496 | 496 | Navy | Confirmed by the Senate by Voice Vote.
PN500 | 500 | Air Force | Confirmed by the Senate by Voice Vote.
PN501 | 501 | Army | Confirmed by the Senate by Voice Vote.
PN502 | 502 | Army | Confirmed by the Senate by Voice Vote.
PN504 | 504 | Army | Confirmed by the Senate by Voice Vote.
PN503 | 503 | Army | Confirmed by the Senate by Voice Vote.
PN505 | 505 | Army | Confirmed by the Senate by Voice Vote.
PN497 | 497 | Navy | Confirmed by the Senate by Voice Vote.
PN506 | 506 | Army | Confirmed by the Senate by Voice Vote.
PN508 | 508 | Navy | Confirmed by the Senate by Voice Vote.
PN507 | 507 | Navy | Confirmed by the Senate by Voice Vote.
PN509 | 509 | Navy | Confirmed by the Senate by Voice Vote.
PN511 | 511 | Navy | Confirmed by the Senate by Voice Vote.
PN513 | 513 | Navy | Confirmed by the Senate by Voice Vote.
PN510 | 510 | Navy | Confirmed by the Senate by Voice Vote.
PN512 | 512 | Navy | Confirmed by the Senate by Voice Vote.
PN516 | 516 | Navy | Confirmed by the Senate by Voice Vote.
PN514 | 514 | Navy | Confirmed by the Senate by Voice Vote.
PN515 | 515 | Navy | Confirmed by the Senate by Voice Vote.
PN401 | 401 | Air Force | Received message of withdrawal of nomination from the President.
PN25-36 | 25 | Department of Education | Received message of withdrawal of nomination from the President.
PN141-9 | 141 | Department of Defense | Received message of withdrawal of nomination from the President.
PN585-10 | 585 | Department of State | Received message of withdrawal of nomination from the President.
PN18 | 18 | Securities and Exchange Commission | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN12-21 | 12 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-38 | 25 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-7 | 25 | Department of Health and Human Services | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN24-1 | 24 | Department of Education | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-10 | 25 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-4 | 25 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-5 | 25 | United States International Development Finance Corporation | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-34 | 25 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-24 | 25 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN26-30 | 26 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN26-9 | 26 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN26-23 | 26 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN26-14 | 26 | Pension Benefit Guaranty Corporation | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN26-13 | 26 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-52 | 25 | Department of Health and Human Services | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN54-3 | 54 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN54-1 | 54 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-55 | 25 | Department of Housing and Urban Development | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-49 | 25 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN26-32 | 26 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN54-2 | 54 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN26-41 | 26 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN26-17 | 26 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-32 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-19 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-14 | 55 | Department of Health and Human Services | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-15 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-22 | 55 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-23 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-5 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-21 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-29 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-11 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN54-4 | 54 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-1 | 55 | Department of Health and Human Services | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-33 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN60-16 | 60 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN60-18 | 60 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN60-6 | 60 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-48 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN60-5 | 60 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN60-15 | 60 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-35 | 55 | Federal Mine Safety and Health Review Commission | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-40 | 55 | Occupational Safety and Health Review Commission | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN60-7 | 60 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN60-1 | 60 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN141-6 | 141 | Department of Education | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN129-3 | 129 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN129-5 | 129 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN129-11 | 129 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN141-13 | 141 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN129-15 | 129 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN141-21 | 141 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN345-1 | 345 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN246-9 | 246 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN141-32 | 141 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN141-33 | 141 | Equal Employment Opportunity Commission | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN141-34 | 141 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN141-36 | 141 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN345-19 | 345 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN465-3 | 465 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN465-4 | 465 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN379-8 | 379 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN379-14 | 379 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN416-11 | 416 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN379-5 | 379 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN379-24 | 379 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN465-5 | 465 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN129-2 | 129 | Department of State | Received message of withdrawal of nomination from the President.
PN588 | 588 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN587 | 587 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN499-1 | 499 | Department of Labor | Received message of withdrawal of nomination from the President.
PN345-5 | 345 | Department of the Interior | Received message of withdrawal of nomination from the President.
PN345-6 | 345 | Department of Housing and Urban Development | Received message of withdrawal of nomination from the President.
PN518-2 | 518 | Farm Credit Administration | Received message of withdrawal of nomination from the President.
PN25-41 | 25 | Department of State | Received message of withdrawal of nomination from the President.
PN441-3 | 441 | Air Force | Confirmed by the Senate by Voice Vote.
PN22-19 | 22 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN22-3 | 22 | Department of Housing and Urban Development | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN26-22 | 26 | Export-Import Bank of the United States | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN54-6 | 54 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN26-34 | 26 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN26-35 | 26 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN26-1 | 26 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN25-28 | 25 | Environmental Protection Agency | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN55-41 | 55 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN55-45 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN55-42 | 55 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN345-16 | 345 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN464 | 464 | Federal Reserve System | Confirmed by the Senate by Yea-Nay Vote. 48 - 47. Record Vote Number: 519.
PN25-17 | 25 | Department of Commerce | Received message of withdrawal of nomination from the President.
PN11-18 | 11 | Small Business Administration | Confirmed by the Senate by Yea-Nay Vote. 52 - 46. Record Vote Number: 59.
PN13-9 | 13 | Department of Veterans Affairs | Confirmed by the Senate by Yea-Nay Vote. 51 - 45. Record Vote Number: 155.
PN379-10 | 379 | Department of Justice | Received message of withdrawal of nomination from the President.
PN462-2 | 462 | Department of Veterans Affairs | Received message of withdrawal of nomination from the President.
PN25-31 | 25 | Department of Education | Received message of withdrawal of nomination from the President.
PN11-5 | 11 | Department of Veterans Affairs | Confirmed by the Senate by Yea-Nay Vote. 77 - 23. Record Vote Number: 32.
PN11-11 | 11 | Department of Homeland Security | Confirmed by the Senate by Yea-Nay Vote. 59 - 34. Record Vote Number: 17.
PN11-14 | 11 | Department of Housing and Urban Development | Confirmed by the Senate by Yea-Nay Vote. 55 - 44. Record Vote Number: 35.
PN11-22 | 11 | Executive Office of the President | Motion by Senator Thune to reconsider tabled in Senate by Yea-Nay Vote. 52 - 47. Record Vote Number: 38.
PN12-14 | 12 | Department of Homeland Security | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 108.
PN11-19 | 11 | Central Intelligence Agency | Confirmed by the Senate by Yea-Nay Vote. 74 - 25. Record Vote Number: 13.
PN26-46 | 26 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 256.
PN24-2 | 24 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 59 - 35. Record Vote Number: 497.
PN13-11 | 13 | Small Business Administration | Confirmed by the Senate by Yea-Nay Vote. 52 - 44. Record Vote Number: 469.
PN12-43 | 12 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 51 - 44. Record Vote Number: 301.
PN25-26 | 25 | Department of Education | Confirmed by the Senate by Yea-Nay Vote. 50 - 45. Record Vote Number: 484.
PN26-49 | 26 | Department of Housing and Urban Development | Confirmed by the Senate by Yea-Nay Vote. 51 - 43. Record Vote Number: 483.
PN26-2 | 26 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 52 - 42. Record Vote Number: 496.
PN22-18 | 22 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 71 - 23. Record Vote Number: 499.
PN25-16 | 25 | Environmental Protection Agency | Confirmed by the Senate by Yea-Nay Vote. 50 - 45. Record Vote Number: 495.
PN26-5 | 26 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 49 - 44. Record Vote Number: 488.
PN26-39 | 26 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 44. Record Vote Number: 486.
PN26-40 | 26 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 52 - 44. Record Vote Number: 490.
PN345-11 | 345 | United States Postal Service | Received message of withdrawal of nomination from the President.
PN55-28 | 55 | Equal Employment Opportunity Commission | Confirmed by the Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 464.
PN370 | 370 | Navy | Confirmed by the Senate by Voice Vote.
PN361 | 361 | Navy | Confirmed by the Senate by Voice Vote.
PN369 | 369 | Army | Confirmed by the Senate by Voice Vote.
PN118 | 118 | Air Force | Confirmed by the Senate by Voice Vote.
PN374 | 374 | Army | Confirmed by the Senate by Voice Vote.
PN376 | 376 | Space Force | Confirmed by the Senate by Voice Vote.
PN375 | 375 | Army | Confirmed by the Senate by Voice Vote.
PN423 | 423 | Air Force | Confirmed by the Senate by Voice Vote.
PN404 | 404 | Air Force | Confirmed by the Senate by Voice Vote.
PN407 | 407 | Army | Confirmed by the Senate by Voice Vote.
PN402 | 402 | Air Force | Confirmed by the Senate by Voice Vote.
PN408 | 408 | Air Force | Confirmed by the Senate by Voice Vote.
PN409 | 409 | Army | Confirmed by the Senate by Voice Vote.
PN412 | 412 | Space Force | Confirmed by the Senate by Voice Vote.
PN421 | 421 | Air Force | Confirmed by the Senate by Voice Vote.
PN422 | 422 | Air Force | Confirmed by the Senate by Voice Vote.
PN406 | 406 | Air Force | Confirmed by the Senate by Voice Vote.
PN425 | 425 | Navy | Confirmed by the Senate by Voice Vote.
PN410 | 410 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN424 | 424 | Army | Confirmed by the Senate by Voice Vote.
PN434 | 434 | Air Force | Confirmed by the Senate by Voice Vote.
PN25-9 | 25 | Department of the Treasury | Received message of withdrawal of nomination from the President.
PN446 | 446 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN22-13 | 22 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 443.
PN379-12 | 379 | Department of Justice | Received message of withdrawal of nomination from the President.
PN55-9 | 55 | Federal Reserve System | Confirmed by the Senate by Yea-Nay Vote. 48 - 46. Record Vote Number: 291.
PN25-39 | 25 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 69 - 30. Record Vote Number: 386.
PN22-26 | 22 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 52 - 46. Record Vote Number: 388.
PN345-2 | 345 | Department of Veterans Affairs | Received message of withdrawal of nomination from the President.
PN52 | 52 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN34 | 34 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN38 | 38 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN99 | 99 | Army | Confirmed by the Senate by Voice Vote.
PN98 | 98 | Army | Confirmed by the Senate by Voice Vote.
PN119 | 119 | Air Force | Confirmed by the Senate by Voice Vote.
PN103 | 103 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN101 | 101 | Army | Confirmed by the Senate by Voice Vote.
PN100 | 100 | Army | Confirmed by the Senate by Voice Vote.
PN130 | 130 | Air Force | Confirmed by the Senate by Voice Vote.
PN131 | 131 | Air Force | Confirmed by the Senate by Voice Vote.
PN133 | 133 | Air Force | Confirmed by the Senate by Voice Vote.
PN143 | 143 | Army | Confirmed by the Senate by Voice Vote.
PN142 | 142 | Army | Confirmed by the Senate by Voice Vote.
PN153 | 153 | Air Force | Confirmed by the Senate by Voice Vote.
PN145 | 145 | Army | Confirmed by the Senate by Voice Vote.
PN144 | 144 | Army | Confirmed by the Senate by Voice Vote.
PN155 | 155 | Air Force | Confirmed by the Senate by Voice Vote.
PN154 | 154 | Air Force | Confirmed by the Senate by Voice Vote.
PN156 | 156 | Air Force | Confirmed by the Senate by Voice Vote.
PN157 | 157 | Air Force | Confirmed by the Senate by Voice Vote.
PN158 | 158 | Air Force | Confirmed by the Senate by Voice Vote.
PN159 | 159 | Air Force | Confirmed by the Senate by Voice Vote.
PN160 | 160 | Air Force | Confirmed by the Senate by Voice Vote.
PN169 | 169 | Air Force | Confirmed by the Senate by Voice Vote.
PN168 | 168 | Air Force | Confirmed by the Senate by Voice Vote.
PN166 | 166 | Air Force | Confirmed by the Senate by Voice Vote.
PN165 | 165 | Air Force | Confirmed by the Senate by Voice Vote.
PN163 | 163 | Air Force | Confirmed by the Senate by Voice Vote.
PN164 | 164 | Air Force | Confirmed by the Senate by Voice Vote.
PN167 | 167 | Air Force | Confirmed by the Senate by Voice Vote.
PN162 | 162 | Army | Confirmed by the Senate by Voice Vote.
PN161 | 161 | Air Force | Confirmed by the Senate by Voice Vote.
PN171 | 171 | Air Force | Confirmed by the Senate by Voice Vote.
PN182 | 182 | Army | Confirmed by the Senate by Voice Vote.
PN170 | 170 | Air Force | Confirmed by the Senate by Voice Vote.
PN172 | 172 | Air Force | Confirmed by the Senate by Voice Vote.
PN179 | 179 | Air Force | Confirmed by the Senate by Voice Vote.
PN181 | 181 | Army | Confirmed by the Senate by Voice Vote.
PN178 | 178 | Air Force | Confirmed by the Senate by Voice Vote.
PN177 | 177 | Air Force | Confirmed by the Senate by Voice Vote.
PN176 | 176 | Air Force | Confirmed by the Senate by Voice Vote.
PN175 | 175 | Air Force | Confirmed by the Senate by Voice Vote.
PN174 | 174 | Air Force | Confirmed by the Senate by Voice Vote.
PN173 | 173 | Air Force | Confirmed by the Senate by Voice Vote.
PN180 | 180 | Army | Confirmed by the Senate by Voice Vote.
PN184 | 184 | Army | Confirmed by the Senate by Voice Vote.
PN183 | 183 | Army | Confirmed by the Senate by Voice Vote.
PN185 | 185 | Army | Confirmed by the Senate by Voice Vote.
PN186 | 186 | Army | Confirmed by the Senate by Voice Vote.
PN187 | 187 | Army | Confirmed by the Senate by Voice Vote.
PN191 | 191 | Navy | Confirmed by the Senate by Voice Vote.
PN188 | 188 | Army | Confirmed by the Senate by Voice Vote.
PN189 | 189 | Navy | Confirmed by the Senate by Voice Vote.
PN193 | 193 | Navy | Confirmed by the Senate by Voice Vote.
PN192 | 192 | Navy | Confirmed by the Senate by Voice Vote.
PN190 | 190 | Navy | Confirmed by the Senate by Voice Vote.
PN205 | 205 | Navy | Confirmed by the Senate by Voice Vote.
PN204 | 204 | Navy | Confirmed by the Senate by Voice Vote.
PN202 | 202 | Navy | Confirmed by the Senate by Voice Vote.
PN201 | 201 | Navy | Confirmed by the Senate by Voice Vote.
PN200 | 200 | Navy | Confirmed by the Senate by Voice Vote.
PN198 | 198 | Navy | Confirmed by the Senate by Voice Vote.
PN197 | 197 | Navy | Confirmed by the Senate by Voice Vote.
